Kategorie: Alle Kategorien

Land,referendum familie: (01.05.16 bis 10.05.18),familia traditionala: (01.05.16 bis 10.05.18),Coalitia pentru familie: (01.05.16 bis 10.05.18)
Rumänien,36,40,100
Vereinigtes Königreich,,,<1
St. Helena,,,
Belgien,,,
Singapur,,,
Griechenland,,,
Österreich,,,
Deutschland,,,
Spanien,,,
Italien,,,
Aruba,,,
Afghanistan,,,
Angola,,,
Anguilla,,,
Ålandinseln,,,
Albanien,,,
Andorra,,,
Vereinigte Arabische Emirate,,,
Argentinien,,,
Armenien,,,
Amerikanisch-Samoa,,,
Antarktis,,,
Französische Süd- und Antarktisgebiete,,,
Antigua und Barbuda,,,
Australien,,,
Aserbaidschan,,,
Burundi,,,
Benin,,,
"Bonaire, Sint Eustatius und Saba",,,
Burkina Faso,,,
Bangladesch,,,
Bulgarien,,,
Bahrain,,,
Bahamas,,,
Bosnien und Herzegowina,,,
St. Barthélemy,,,
Belarus,,,
Belize,,,
Bermuda,,,
Bolivien,,,
Brasilien,,,
Barbados,,,
Brunei Darussalam,,,
Bhutan,,,
Bouvetinsel,,,
Botsuana,,,
Zentralafrikanische Republik,,,
Kanada,,,
Kokosinseln,,,
Schweiz,,,
Chile,,,
China,,,
Côte d’Ivoire,,,
Kamerun,,,
Kongo-Kinshasa,,,
Kongo-Brazzaville,,,
Cookinseln,,,
Kolumbien,,,
Komoren,,,
Cabo Verde,,,
Costa Rica,,,
Kuba,,,
Curaçao,,,
Weihnachtsinsel,,,
Kaimaninseln,,,
Zypern,,,
Tschechien,,,
Dschibuti,,,
Dominica,,,
Dänemark,,,
Dominikanische Republik,,,
Algerien,,,
Ecuador,,,
Ägypten,,,
Eritrea,,,
Westsahara,,,
Estland,,,
Äthiopien,,,
Finnland,,,
Fidschi,,,
Falklandinseln (Malwinen),,,
Frankreich,,,
Färöer,,,
Mikronesien,,,
Gabun,,,
Georgien,,,
Guernsey,,,
Ghana,,,
Gibraltar,,,
Guinea,,,
Guadeloupe,,,
Gambia,,,
Guinea-Bissau,,,
Äquatorialguinea,,,
Grenada,,,
Grönland,,,
Guatemala,,,
Französisch-Guayana,,,
Guam,,,
Guyana,,,
Hongkong,,,
Heard und McDonaldinseln,,,
Honduras,,,
Kroatien,,,
Haiti,,,
Ungarn,,,
Indonesien,,,
Isle of Man,,,
Indien,,,
Britisches Territorium im Indischen Ozean,,,
Irland,,,
Iran,,,
Irak,,,
Island,,,
Israel,,,
Jamaika,,,
Jersey,,,
Jordanien,,,
Japan,,,
Kasachstan,,,
Kenia,,,
Kirgisistan,,,
Kambodscha,,,
Kiribati,,,
St. Kitts und Nevis,,,
Südkorea,,,
Kuwait,,,
Laos,,,
Libanon,,,
Liberia,,,
Libyen,,,
St. Lucia,,,
Liechtenstein,,,
Sri Lanka,,,
Lesotho,,,
Litauen,,,
Luxemburg,,,
Lettland,,,
Macau,,,
St. Martin,,,
Marokko,,,
Monaco,,,
Republik Moldau,,,
Madagaskar,,,
Malediven,,,
Mexiko,,,
Marshallinseln,,,
Mazedonien (EJR),,,
Mali,,,
Malta,,,
Myanmar,,,
Montenegro,,,
Mongolei,,,
Nördliche Marianen,,,
Mosambik,,,
Mauretanien,,,
Montserrat,,,
Martinique,,,
Mauritius,,,
Malawi,,,
Malaysia,,,
Mayotte,,,
Namibia,,,
Neukaledonien,,,
Niger,,,
Norfolkinsel,,,
Nigeria,,,
Nicaragua,,,
Niue,,,
Niederlande,,,
Norwegen,,,
Nepal,,,
Nauru,,,
Neuseeland,,,
Oman,,,
Pakistan,,,
Panama,,,
Pitcairninseln,,,
Peru,,,
Philippinen,,,
Palau,,,
Papua-Neuguinea,,,
Polen,,,
Puerto Rico,,,
Nordkorea,,,
Portugal,,,
Paraguay,,,
Palästina,,,
Französisch-Polynesien,,,
Katar,,,
Réunion,,,
Russland,,,
Ruanda,,,
Saudi-Arabien,,,
Sudan,,,
Senegal,,,
Südgeorgien und die Südlichen Sandwichinseln,,,
Spitzbergen und Jan Mayen,,,
Salomonen,,,
Sierra Leone,,,
El Salvador,,,
San Marino,,,
Somalia,,,
St. Pierre und Miquelon,,,
Serbien,,,
Südsudan,,,
São Tomé und Príncipe,,,
Suriname,,,
Slowakei,,,
Slowenien,,,
Schweden,,,
Swasiland,,,
Sint Maarten,,,
Seychellen,,,
Syrien,,,
Turks- und Caicosinseln,,,
Tschad,,,
Togo,,,
Thailand,,,
Tadschikistan,,,
Tokelau,,,
Turkmenistan,,,
Timor-Leste,,,
Tonga,,,
Trinidad und Tobago,,,
Tunesien,,,
Türkei,,,
Tuvalu,,,
Taiwan,,,
Tansania,,,
Uganda,,,
Ukraine,,,
Amerikanische Überseeinseln,,,
Uruguay,,,
Vereinigte Staaten,,,
Usbekistan,,,
Vatikanstadt,,,
St. Vincent und die Grenadinen,,,
Venezuela,,,
Britische Jungferninseln,,,
Amerikanische Jungferninseln,,,
Vietnam,,,
Vanuatu,,,
Wallis und Futuna,,,
Samoa,,,
Kosovo,,,
Jemen,,,
Südafrika,,,
Sambia,,,
Simbabwe,,,
