Kategorie: Alle Kategorien

Woche,referendum familie: (Weltweit),familia traditionala: (Weltweit),Coalitia pentru familie: (Weltweit)
2016-05-01,0,0,0
2016-05-08,0,8,0
2016-05-15,0,0,16
2016-05-22,8,24,80
2016-05-29,8,16,32
2016-06-05,0,0,0
2016-06-12,0,0,24
2016-06-19,8,0,0
2016-06-26,0,0,16
2016-07-03,0,0,9
2016-07-10,0,0,8
2016-07-17,0,0,17
2016-07-24,0,0,25
2016-07-31,0,0,9
2016-08-07,0,0,9
2016-08-14,0,0,0
2016-08-21,0,9,0
2016-08-28,0,0,0
2016-09-04,0,0,0
2016-09-11,0,0,8
2016-09-18,0,8,0
2016-09-25,0,8,32
2016-10-02,0,0,24
2016-10-09,0,8,8
2016-10-16,8,16,48
2016-10-23,0,16,0
2016-10-30,0,8,16
2016-11-06,8,8,23
2016-11-13,8,8,24
2016-11-20,0,0,16
2016-11-27,0,15,8
2016-12-04,7,22,15
2016-12-11,8,0,38
2016-12-18,0,0,24
2016-12-25,0,0,0
2017-01-01,0,0,16
2017-01-08,0,15,7
2017-01-15,0,7,0
2017-01-22,7,0,0
2017-01-29,7,7,15
2017-02-05,15,15,37
2017-02-12,0,14,7
2017-02-19,0,0,7
2017-02-26,14,0,14
2017-03-05,7,21,21
2017-03-12,0,7,14
2017-03-19,0,0,30
2017-03-26,0,0,51
2017-04-02,0,7,7
2017-04-09,0,0,0
2017-04-16,22,0,0
2017-04-23,0,0,7
2017-04-30,7,0,7
2017-05-07,15,37,95
2017-05-14,8,31,39
2017-05-21,0,0,79
2017-05-28,8,0,79
2017-06-04,15,15,100
2017-06-11,8,0,63
2017-06-18,8,8,23
2017-06-25,0,0,48
2017-07-02,0,8,24
2017-07-09,8,24,24
2017-07-16,0,8,32
2017-07-23,0,0,16
2017-07-30,0,0,23
2017-08-06,0,15,52
2017-08-13,0,0,15
2017-08-20,8,0,8
2017-08-27,0,0,0
2017-09-03,68,0,8
2017-09-10,22,22,37
2017-09-17,15,7,22
2017-09-24,15,15,15
2017-10-01,15,7,7
2017-10-08,37,0,7
2017-10-15,7,7,0
2017-10-22,0,15,15
2017-10-29,7,22,29
2017-11-05,7,22,0
2017-11-12,14,7,36
2017-11-19,0,14,14
2017-11-26,0,0,14
2017-12-03,0,15,7
2017-12-10,0,7,14
2017-12-17,0,15,7
2017-12-24,0,16,16
2017-12-31,0,8,0
2018-01-07,7,7,28
2018-01-14,0,14,14
2018-01-21,0,21,0
2018-01-28,0,14,7
2018-02-04,0,0,14
2018-02-11,0,0,21
2018-02-18,0,14,7
2018-02-25,0,7,7
2018-03-04,14,34,7
2018-03-11,14,0,7
2018-03-18,14,21,34
2018-03-25,64,22,29
2018-04-01,35,0,0
2018-04-08,28,21,7
2018-04-15,35,42,28
2018-04-22,21,7,14
2018-04-29,42,14,42
2018-05-06,83,28,14
